человек		person, human
год			year
время		time
рука		hand | arm
дело		business, matter, case, work
раз			time
глаз		eye
жизнь		life
день		day
голова		head
друг		friend
дом			home, house
слово		word
место		seat, place
лицо		face
сторона		side
нога		leg
дверь		door
работа		work 
земля		earth
конец		end
час			time, hour
голос		voice
город		town, city
вода		water
стол		table
ребенок		child, kid
сила		power, might
отец		father
женщина		woman
машина		car | machine
случай		case, occurence | event, incident
ночь		night
мир			world | peace
вид			external image; appearance, look | aspect, facet
ряд			row, series, line
начало		beginning | beginning, origin, source	
вопрос		question
война		war
деньги		money
минута		minute
жена		wife
правда		right
страна		country
свет		light
мать		mother
товарищ		friend, comrade
дорога		road | road, path
окно		window
комната		room
Москва		Moscow
часть		part
книга		book
улица		street
душа		soul, spirit
утро		morning
вечер		evening
пол			floor | sex, gender
народ		nation
плечо		shoulder
бог		    God
взгляд		
русский		Russian
палец		
Россия		Russia
история		history
мысль		thought, idea
сын		    son
лес		    forest
пора		
имя		    name
разговор	tal, conversation
тело
стена		wall
право		right | (law) right
старик		old man
мама		mom
путь		way, path, road
месяц		month
спина
язык		language
сердце		heart
мальчик		(dim) boy
небо		sky
смерть		death
девушка		girl
образ		image, form
письмо		letter
власть		pwoer
воздух		air
брат		brother
отношение	attitude
система		system
квартира	apartment, flat
любовь		LOVE
солдат		soldier
хозяин		master
начальник	boss, manager, chief, leader, etc.
школа		school
парень		lad, guy, boy
кровь		blood
солнце		sun
неделя		week
ребята		children
шаг		    step
мужчина		man, male
нос		    nose
внимание	attention, warning
капитан		captain
ухо		    ear
чувство		feeling, sense
берег		bank, shore
семья		family
генерал		general
момент		moment, instant
труд		labour
группа		group
муж		    husband
движение	movement, motion
порядок		order | order, sequence
ответ		reply, response
газета		newspaper
помощь		help
собака		dog
дерево		tree
снег		snow
сон	    	dream
смысл		meaning, sense
двор		court, yard
форма		form, shape
возможность	possibility, opportunity, chance
общество	society
грудь		chest, breast
угол        coal
черный		black
век		    century, age
карман		pocket
немец		German
губа		lip
дядя		uncle
огонь		fire
писатель	writer
армия		army
состояние	state, status, condition
зуб	    	tooth
очередь		queue, line
камень		stone
гость		guest
ветер		wind
рота
закон		law
море		sea
гора		mountain
врач		enemy
край		border
река		river
военный 
мера
действие
вещь		thing
ход
боль		pain
судьба		fate, destiny
причина		cause, reason, factor
черта       straight line
девочка		(dim) girl
волос		voice
номер		number
глава		head
командир	commander
партия		party
проблема	problem
страх		fear
бумага		paper
герой		hero
пара		papa, father
государство	state
деревня		village
речь
средство	method, way | means
положение
связь       tie, relation | connection, link
класс		class | classroom
цель
знать		nobility, noble people
профессор	professor
господин	master, lord
счастье		happiness
дух		    soul, spirit
план		plan
зал
директор	director
память		memory, remembrance, recollection
результат	result
больной		patient
след		footprint
бутылка		bottle
условие		condition, term
ум		    mind
процесс		process
картина		picture
центр		center
будущее		future
число		number
рубль		ruble
вера		faith, belief
удар		hit, blow, strike
телефон		telephone
колено      knee
коридор     corridor
мужик
автор		author
встреча		meeting, encounter | date
кабинет		cabinet
документ	document
самолет		plane
игра		game
рассказ		story
хлеб		bread
развитие	development
трубка		(dim) pipe, tube
враг		enemy, foe
доктор		doctor
ладонь		palm
наука		science
лейтенант	liutenant
служба      service
счет        bill, invoice
кухня		kitchen
решение     decision, solution
молодая
роман		novel
компания	company
течение		current, flow, stream
метр		meter
институт	institute
интерес		interest
половина
качество	quality
бой		    beating | fight | battle
шея		    neck
идея		idea
трава		grass
дед		    grandfather | old man
сознание	consciousness
родитель	
чай	    	tea
род	    	family, clan, generation
немецкий    German
звук		sound
магазин		shop, store | (weapon) magazin
президент	president
поэт		poem
спасибо		gratitude
болезнь		illness, sickness | disease
событие		event
кожа		skin
лист		leaf | (paper) sheet, leaf
слеза
надежда		hope, expectation
литература	literature
оружие		weapon
запах
роль		role
рост		growth | increase
природа		nature
точка		dot, point
звезда		star
фамилия		surname
характер	character
офицер		officer, police officer
толпа
уровень		level
кресло		armchair
баба		grandmother | old woman
секунда		second
банк		bank
опыт		experience
сапог       boot
правило		rule
стекло		glass
дочь		daughter
член		member | limb
десяток     dozen
цветок		flower
желание     wish, desire
дождь		rain
лоб         forehead
улыбка		smile
борьба		fight, struggle
ворот
ящик        wooden box - case
этаж
голубой
революция	revolution
сосед		society
сестра		sister
ситуация	situation
количество	quantity
выход		exit
совет		advice, counsel
дурак		fool, idiot
союз		union
лето		summer
граница
цвет		color
свобода		freedom
стул		chair
поезд		train
музыка		music
тень		shadow
лошадь
поле		field
тип		    type
суд		    court
площадь		square
радость		joy
возраст		age
орган		organ
